Loan_ID,Gender,Married,Dependents,Graduate,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1002,1,0,0,1,0,5849,0,128,360,1,1,1
1003,1,1,1,1,0,4583,1508,128,360,1,3,0
1005,1,1,0,1,1,3000,0,66,360,1,1,1
1006,1,1,0,0,0,2583,2358,120,360,1,1,1
1008,1,0,0,1,0,6000,0,141,360,1,1,1
1011,1,1,2,1,1,5417,4196,267,360,1,1,1
1013,1,1,0,0,0,2333,1516,95,360,1,1,1
1014,1,1,3,1,0,3036,2504,158,360,0,2,0
1018,1,1,2,1,0,4006,1526,168,360,1,1,1
1020,1,1,1,1,0,12841,10968,349,360,1,2,0
1024,1,1,2,1,0,3200,700,70,360,1,1,1
1027,1,1,2,1,0,2500,1840,109,360,1,1,1
1028,1,1,2,1,0,3073,8106,200,360,1,1,1
1029,1,0,0,1,0,1853,2840,114,360,1,3,0
1030,1,1,2,1,0,1299,1086,17,120,1,1,1
1032,1,0,0,1,0,4950,0,125,360,1,1,1
1034,1,0,1,0,0,3596,0,100,240,0,1,1
1036,2,0,0,1,0,3510,0,76,360,0,1,0
1038,1,1,0,0,0,4887,0,133,360,1,3,0
1041,1,1,0,1,0,2600,3500,115,360,1,1,1
1043,1,1,0,0,0,7660,0,104,360,0,1,0
1046,1,1,1,1,0,5955,5625,315,360,1,1,1
1047,1,1,0,0,0,2600,1911,116,360,0,2,0
1050,1,1,2,0,0,3365,1917,112,360,0,3,0
1052,1,1,1,1,0,3717,2925,151,360,0,2,0
1066,1,1,0,1,1,9560,0,191,360,1,2,1
1068,1,1,0,1,0,2799,2253,122,360,1,2,1
1073,1,1,2,0,0,4226,1040,110,360,1,1,1
1086,1,0,0,0,0,1442,0,35,360,1,1,0
1087,2,0,2,1,0,3750,2083,120,360,1,2,1
1091,1,1,1,1,0,4166,3369,201,360,0,1,0
1095,1,0,0,1,0,3167,0,74,360,1,1,0
1097,1,0,1,1,1,4692,0,106,360,1,3,0
1098,1,1,0,1,0,3500,1667,114,360,1,2,1
1100,1,0,3,1,0,12500,3000,320,360,1,3,0
1106,1,1,0,1,0,2275,2067,128,360,1,1,1
1109,1,1,0,1,0,1828,1330,100,360,0,1,0
1112,2,1,0,1,0,3667,1459,144,360,1,2,1
1114,1,0,0,1,0,4166,7210,184,360,1,1,1
1116,1,0,0,0,0,3748,1668,110,360,1,2,1
1119,1,0,0,1,0,3600,0,80,360,1,1,0
1120,1,0,0,1,0,1800,1213,47,360,1,1,1
1123,1,1,0,1,0,2400,0,75,360,0,1,1
1131,1,1,0,1,0,3941,2336,134,360,1,2,1
1136,1,1,0,0,1,4695,0,96,360,1,1,1
1137,2,0,0,1,0,3410,0,88,360,1,1,1
1138,1,1,1,1,0,5649,0,44,360,1,1,1
1144,1,1,0,1,0,5821,0,144,360,1,1,1
1146,2,1,0,1,0,2645,3440,120,360,0,1,0
1151,2,0,0,1,0,4000,2275,144,360,1,2,1
1155,2,1,0,0,0,1928,1644,100,360,1,2,1
1157,2,0,0,1,0,3086,0,120,360,1,2,1
1164,2,0,0,1,0,4230,0,112,360,1,2,0
1179,1,1,2,1,0,4616,0,134,360,1,1,0
1186,2,1,1,1,1,11500,0,286,360,0,1,0
1194,1,1,2,1,0,2708,1167,97,360,1,2,1
